"id","boxid","address","name","qrcode","serialnumber","status","modelnumber"
"44","73183790482","山东省临沂市罗庄区顺华汽车销售服务有限公司","领克","http://assets.mayihezi.com/prod/box/Qrcode/20189/181516237058669104-1321-4331-ba3a-7be25ae65be4.jpg","A1426","OFFLINE","MA650-A"
"45","73183724907","山东省临沂市兰山区临西五路与金一路交汇南150米路西","66号汽车超市","http://assets.mayihezi.com/prod/merchant/icon/201710/24134353170b4f935f-b931-4ffe-8188-f4b9548bcac7.jpg","A1387","ONLINE","MA650-A"
"46","73183724906","山东省临沂市兰山区顺和街","香港城2栋百货","http://assets.mayihezi.com/prod/merchant/icon/201710/2414637818a69d454c-b32f-496b-9b9a-4bdc9c0075c3.jpg","A1386","ONLINE","MA650-A"
"47","73183724901","山东省临沂市兰山区工业大道与解放路	","溪苑兰亭","http://assets.mayihezi.com/prod/merchant/icon/201710/27143012812ce4e921b-c5c7-49c7-9594-b3b282811f75.jpg","A1381","OFFLINE","MA650-A"
"48","73183528249","山东省临沂市兰山区顺和街","香港城2栋自产","http://assets.mayihezi.com/prod/merchant/icon/201710/231514148831a9e4ee3-2688-4039-8cda-e21ee6dd9be2.jpg","A1337","ONLINE","MA650-A"
"49","73183528245","山东省临沂市罗庄区临沂瑞鼎销售服务店","东风风行","http://assets.mayihezi.com/prod/merchant/icon/201710/23153436468e4bf4a68-0b38-4da9-bc8c-59bcbf5c6553.jpg","A1333","ONLINE","MA650-A"
"50","73183528239","山东省临沂市兰山区红旗路与通达路","城市风景6#百货","http://assets.mayihezi.com/prod/merchant/icon/201710/23945787fdb16fcf-fd2d-4262-8d04-50dbb3bdcf37.jpg","A1327","ONLINE","MA650-A"
"51","73183528235","山东省临沂市兰山区临西五路与金二路交汇","东风日产易通4S店","http://assets.mayihezi.com/prod/merchant/icon/201710/239472935065b71c22-a253-4d70-b7db-6529ddb9894a.jpg","A1323","ONLINE","MA650-A"
"52","73183069288","山东省临沂市兰山区武汉路与马陵山路","金升小额贷款","http://assets.mayihezi.com/prod/merchant/icon/201710/161735423a2092da7-ee6f-4ad3-b638-1d862893fd2d.jpg","A1128","OFFLINE","MA650-A"
"53","73182872594","山东省临沂市罗庄区蒙山大道与沂河路交汇西1000米路北","东风标致","http://assets.mayihezi.com/prod/merchant/icon/201710/121527445690eb1dca1-4563-4d01-bc5d-31fcb76aeba3.jpg","A1042","ONLINE","MA650-A"
"54","73165898360","山东省临沂市兰山区聚才六路妇幼保健院","山东医专第一附属医院（3）南边","http://assets.mayihezi.com/prod/merchant/icon/20179/111545248286c5b5676-8d48-4ba3-971b-68fa47e2e474.jpg","A0632","ONLINE","MA650A"
"55","73115566597",,"鲜厨总部","http://assets.mayihezi.com/prod/merchant/icon/20178/1145432410cb157855-3a64-437a-ac2d-1b8fdbb0317e.jpg","A0517","OFFLINE","MA650"
